INFO 2025-09-17 14:46:47,092 basehttp 4984 13460 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
INFO 2025-09-17 14:46:47,093 basehttp 4984 6508 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
INFO 2025-09-17 14:47:03,564 basehttp 4984 13460 "GET /admin/clubs/timeslot/ HTTP/1.1" 200 86516
INFO 2025-09-17 14:47:03,654 basehttp 4984 13460 "GET /static/admin/css/changelists.css HTTP/1.1" 200 6878
INFO 2025-09-17 14:47:03,670 basehttp 4984 12104 "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
INFO 2025-09-17 14:47:03,688 basehttp 4984 7984 "GET /static/admin/js/core.js HTTP/1.1" 200 6208
INFO 2025-09-17 14:47:03,700 basehttp 4984 12784 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 9777
INFO 2025-09-17 14:47:03,741 basehttp 4984 6508 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-09-17 14:47:03,750 basehttp 4984 12104 "GET /static/admin/js/urlify.js HTTP/1.1" 200 7887
INFO 2025-09-17 14:47:03,754 basehttp 4984 7984 "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
INFO 2025-09-17 14:47:03,778 basehttp 4984 13460 "GET /static/admin/js/actions.js HTTP/1.1" 200 8076
INFO 2025-09-17 14:47:03,824 basehttp 4984 8708 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 285314
INFO 2025-09-17 14:47:03,843 basehttp 4984 13460 "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
INFO 2025-09-17 14:47:03,845 basehttp 4984 12104 "GET /static/admin/img/search.svg HTTP/1.1" 200 458
INFO 2025-09-17 14:47:03,921 basehttp 4984 12104 "GET /static/admin/js/filters.js HTTP/1.1" 200 978
INFO 2025-09-17 14:47:04,085 basehttp 4984 12784 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 325171
INFO 2025-09-17 14:47:04,152 basehttp 4984 12784 "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
INFO 2025-09-17 14:47:04,154 basehttp 4984 12104 "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 200 1097
INFO 2025-09-17 14:47:04,160 basehttp 4984 13460 "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 200 581
INFO 2025-09-17 14:47:15,259 basehttp 4984 13460 "GET /admin/clubs/sportsclub/ HTTP/1.1" 200 19702
INFO 2025-09-17 14:47:15,300 basehttp 4984 13460 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-09-17 14:47:17,831 basehttp 4984 13460 "GET /admin/clubs/clubreview/ HTTP/1.1" 200 14474
INFO 2025-09-17 14:47:17,895 basehttp 4984 13460 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-09-17 14:47:20,351 basehttp 4984 13460 "GET /admin/bookings/booking/ HTTP/1.1" 200 15932
INFO 2025-09-17 14:47:20,403 basehttp 4984 13460 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-09-17 14:47:22,824 basehttp 4984 13460 "GET /admin/authtoken/tokenproxy/ HTTP/1.1" 200 13191
INFO 2025-09-17 14:47:24,938 basehttp 4984 13460 "GET /admin/accounts/otp/ HTTP/1.1" 200 14563
INFO 2025-09-17 14:47:24,992 basehttp 4984 13460 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-09-17 14:47:27,411 basehttp 4984 13460 "GET /admin/accounts/user/ HTTP/1.1" 200 17805
INFO 2025-09-17 14:47:27,473 basehttp 4984 13460 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-09-17 14:47:27,492 basehttp 4984 12104 "GET /static/admin/img/icon-no.svg HTTP/1.1" 200 560
INFO 2025-09-17 14:47:39,810 basehttp 4984 12104 "POST /admin/logout/ HTTP/1.1" 200 3572
WARNING 2025-09-17 14:47:52,009 log 4984 12104 Unauthorized: /api/clubs/
WARNING 2025-09-17 14:47:52,011 basehttp 4984 12104 "GET /api/clubs/ HTTP/1.1" 401 5064
INFO 2025-09-17 14:47:57,511 basehttp 4984 12104 "GET /api/ HTTP/1.1" 200 177
INFO 2025-09-17 14:48:11,917 basehttp 4984 12104 "GET /health HTTP/1.1" 301 0
INFO 2025-09-17 14:48:11,923 basehttp 4984 13460 "GET /health/ HTTP/1.1" 200 70
WARNING 2025-09-17 14:48:44,128 log 4984 13460 Unauthorized: /api/clubs/
WARNING 2025-09-17 14:48:44,130 basehttp 4984 13460 "GET /api/clubs/ HTTP/1.1" 401 5064
WARNING 2025-09-17 14:49:38,010 log 4984 18236 Unauthorized: /api/clubs/
WARNING 2025-09-17 14:49:38,012 basehttp 4984 18236 "GET /api/clubs/ HTTP/1.1" 401 5064
WARNING 2025-09-17 14:49:46,252 log 4984 18236 Unauthorized: /api/clubs/
WARNING 2025-09-17 14:49:46,254 basehttp 4984 18236 "GET /api/clubs/?format=json HTTP/1.1" 401 58
WARNING 2025-09-17 14:49:49,359 log 4984 18236 Unauthorized: /api/clubs/
WARNING 2025-09-17 14:49:49,360 basehttp 4984 18236 "GET /api/clubs/ HTTP/1.1" 401 5064
WARNING 2025-09-17 14:50:21,506 log 4984 18236 Method Not Allowed: /api/auth/send-otp/
WARNING 2025-09-17 14:50:21,508 basehttp 4984 18236 "GET /api/auth/send-otp/ HTTP/1.1" 405 5587
WARNING 2025-09-17 14:51:17,497 log 4984 18236 Bad Request: /api/auth/send-otp/
WARNING 2025-09-17 14:51:17,500 basehttp 4984 18236 "POST /api/auth/send-otp/ HTTP/1.1" 400 5604
WARNING 2025-09-17 14:51:41,331 log 4984 18236 Bad Request: /api/auth/send-otp/
WARNING 2025-09-17 14:51:41,333 basehttp 4984 18236 "POST /api/auth/send-otp/ HTTP/1.1" 400 5604
INFO 2025-09-17 14:52:46,316 basehttp 4984 18236 "GET /admin/ HTTP/1.1" 302 0
INFO 2025-09-17 14:52:46,339 basehttp 4984 18236 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4181
INFO 2025-09-17 14:52:56,056 basehttp 4984 18236 "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2025-09-17 14:52:56,102 basehttp 4984 18236 "GET /admin/ HTTP/1.1" 200 12728
INFO 2025-09-17 14:52:58,955 basehttp 4984 18236 "GET /admin/accounts/otp/ HTTP/1.1" 200 14563
INFO 2025-09-17 14:52:59,004 basehttp 4984 18236 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-09-17 14:55:20,442 autoreload 8308 9764 Watching for file changes with StatReloader
INFO 2025-09-17 14:58:01,027 basehttp 4984 15532 "GET /api/ HTTP/1.1" 200 177
